Date,Time,RBoom_Angle,* PRSTiltSensorBin,* PRSTiltSensorEng,ShearerPosition
5/9/2023,55:53.7,9.71,2028,97,41
5/9/2023,55:53.9,9.97,2028,97,41
5/9/2023,55:54.3,9.78,2025,94,41
5/9/2023,55:54.5,9.73,2025,94,41
5/9/2023,55:54.8,9.59,2028,97,41
5/9/2023,55:55.0,9.95,2028,97,41
5/9/2023,55:55.3,9.91,2027,96,41
5/9/2023,55:55.5,9.81,2027,96,41
5/9/2023,55:55.8,10.26,2030,99,41
5/9/2023,55:56.1,10.04,2030,99,41
5/9/2023,55:56.3,9.5,2025,94,41
5/9/2023,55:56.6,9.8,2025,94,41
5/9/2023,55:56.8,9.77,2025,94,41
5/9/2023,55:57.1,9.73,2025,94,41
5/9/2023,55:57.4,9.51,2027,96,41
5/9/2023,55:57.6,9.81,2027,96,41
5/9/2023,55:57.9,9.66,2028,97,41
5/9/2023,55:58.1,9.92,2028,97,41
5/9/2023,55:58.4,10.04,2024,93,41
5/9/2023,55:58.7,9.71,2024,93,41
5/9/2023,55:58.9,9.63,2031,100,41
5/9/2023,55:59.2,9.49,2031,100,41
5/9/2023,55:59.4,9.84,2030,99,41
5/9/2023,55:59.7,10.11,2030,99,41
5/9/2023,56:00.0,9.47,2030,99,41
5/9/2023,56:00.2,9.78,2030,99,41
5/9/2023,56:00.5,9.47,2028,97,41
5/9/2023,56:00.7,9.09,2028,97,41
5/9/2023,56:01.0,9.94,2022,91,41
5/9/2023,56:01.3,10.05,2022,91,41
5/9/2023,56:01.6,9.96,2024,93,41
5/9/2023,56:01.7,9.67,2024,93,41
5/9/2023,56:02.0,9.55,2024,93,40
5/9/2023,56:02.3,9.62,2023,92,40
5/9/2023,56:02.5,9.87,2023,92,40
5/9/2023,56:02.8,9.68,2022,91,40
5/9/2023,56:03.1,9.2,2022,91,40
5/9/2023,56:03.4,9.66,2028,97,40
5/9/2023,56:03.6,9.88,2028,97,40
5/9/2023,56:03.9,9.25,2029,98,40
5/9/2023,56:04.1,9.68,2029,98,40
5/9/2023,56:04.4,10.05,2031,100,40
5/9/2023,56:04.7,9.65,2029,98,40
5/9/2023,56:04.9,9.59,2029,98,40
5/9/2023,56:05.2,10.08,2029,98,40
5/9/2023,56:05.4,10.01,2029,98,40
5/9/2023,56:05.7,9.03,2029,98,40
5/9/2023,56:05.9,10.01,2028,97,40
5/9/2023,56:06.2,10.19,2028,97,40
5/9/2023,56:06.4,9.78,2032,101,40
5/9/2023,56:06.7,9.85,2032,101,40
5/9/2023,56:07.0,9.75,2030,99,40
5/9/2023,56:07.2,9.76,2030,99,40
5/9/2023,56:07.5,9.7,2029,98,40
5/9/2023,56:07.7,9.95,2029,98,40
5/9/2023,56:08.0,10.19,2025,94,40
5/9/2023,56:08.3,9.65,2025,94,40
5/9/2023,56:08.5,10.06,2027,96,40
5/9/2023,56:08.8,9.8,2027,96,40
5/9/2023,56:09.1,9.77,2028,97,40
5/9/2023,56:09.4,9.8,2028,97,40
5/9/2023,56:09.5,10.15,2030,99,40
5/9/2023,56:09.8,9.51,2030,99,40
5/9/2023,56:10.1,9.63,2030,99,40
5/9/2023,56:10.4,9.79,2030,99,40
5/9/2023,56:10.6,9.71,2032,101,40
5/9/2023,56:10.9,9.61,2032,101,40
5/9/2023,56:11.1,10.15,2031,100,40
5/9/2023,56:11.4,9.88,2031,100,40
5/9/2023,56:11.7,9.27,2025,94,40
5/9/2023,56:11.9,9.35,2025,94,40
5/9/2023,56:12.2,9.71,2018,87,40
5/9/2023,56:12.5,9.03,2022,91,39
5/9/2023,56:12.7,9.74,2022,91,39
5/9/2023,56:13.0,9.91,2022,91,39
5/9/2023,56:13.2,9.64,2023,92,39
5/9/2023,56:13.4,9.36,2023,92,39
5/9/2023,56:13.7,9.98,2032,101,39
5/9/2023,56:14.0,10.12,2032,101,39
5/9/2023,56:14.2,10.15,2034,103,39
5/9/2023,56:14.5,9.89,2034,103,39
5/9/2023,56:14.8,9.92,2036,105,39
5/9/2023,56:15.0,8.94,2036,105,39
5/9/2023,56:15.3,9.91,2030,99,39
5/9/2023,56:15.6,9.95,2030,99,39
5/9/2023,56:15.8,9.9,2030,99,39
5/9/2023,56:16.1,10.08,2030,99,39
5/9/2023,56:16.3,9.86,2032,101,39
5/9/2023,56:16.6,10.14,2032,101,39
5/9/2023,56:16.9,9.68,2026,95,39
5/9/2023,56:17.1,9.86,2026,95,39
5/9/2023,56:17.4,10.02,2023,92,39
5/9/2023,56:17.6,9.66,2023,92,39
5/9/2023,56:17.9,9.45,2020,89,39
5/9/2023,56:18.2,9.77,2020,89,39
5/9/2023,56:18.4,9.64,2023,92,39
5/9/2023,56:18.7,9.87,2023,92,39
5/9/2023,56:18.9,10,2027,96,39
5/9/2023,56:19.2,9.7,2027,96,39
5/9/2023,56:19.5,10.44,2031,100,39
5/9/2023,56:19.7,9.84,2031,100,39
5/9/2023,56:20.0,9.34,2031,100,39
5/9/2023,56:20.2,9.34,2031,100,39
5/9/2023,56:20.5,9.63,2032,101,39
5/9/2023,56:20.8,9.59,2032,101,39
5/9/2023,56:21.0,9.86,2030,99,39
5/9/2023,56:21.3,10.21,2030,99,39
5/9/2023,56:21.5,9.99,2028,97,39
5/9/2023,56:21.8,9.61,2028,97,39
5/9/2023,56:22.0,10.11,2029,98,39
5/9/2023,56:22.3,9.65,2029,98,38
5/9/2023,56:22.6,10.33,2030,99,38
5/9/2023,56:22.8,10.1,2030,99,38
5/9/2023,56:23.1,9.53,2035,104,38
5/9/2023,56:23.4,10.01,2035,104,38
5/9/2023,56:23.6,9.95,2029,98,38
5/9/2023,56:23.8,9.97,2029,98,38
5/9/2023,56:24.2,9.8,2027,96,38
5/9/2023,56:24.4,9.24,2027,96,38
5/9/2023,56:24.7,10.01,2024,93,38
