Date,Time,RBoom_Angle,* PRSTiltSensorBin,* PRSTiltSensorEng,NoName
5/9/2023,41:01.0,7.94,2011,77,4
5/9/2023,41:01.3,7.94,2009,75,4
5/9/2023,41:01.6,7.94,2009,75,4
5/9/2023,41:01.8,7.94,2010,76,4
5/9/2023,41:02.1,7.94,2010,76,4
5/9/2023,41:02.3,7.94,2010,76,4
5/9/2023,41:02.6,7.94,2010,76,4
5/9/2023,41:02.9,7.94,2010,76,4
5/9/2023,41:03.1,7.93,2010,76,4
5/9/2023,41:03.4,7.94,2010,76,4
5/9/2023,41:03.6,7.94,2010,76,4
5/9/2023,41:03.9,7.94,2010,76,4
5/9/2023,41:04.2,5.45,2010,76,4
5/9/2023,41:04.4,7.02,2011,77,4
5/9/2023,41:04.7,7.94,2011,77,4
5/9/2023,41:05.0,7.46,2000,66,4
5/9/2023,41:05.3,7.4,2000,66,4
5/9/2023,41:05.5,7.52,1990,56,4
5/9/2023,41:05.7,7.98,1990,56,4
5/9/2023,41:06.0,7.25,2004,70,4
5/9/2023,41:06.3,7.9,2004,70,4
5/9/2023,41:06.5,7.82,2017,83,4
5/9/2023,41:06.8,7.78,2017,83,4
5/9/2023,41:07.1,7.95,2014,80,4
5/9/2023,41:07.3,7.65,2014,80,4
5/9/2023,41:07.5,7.43,2009,75,4
5/9/2023,41:07.8,7.87,2009,75,4
5/9/2023,41:08.1,7.82,2008,74,4
5/9/2023,41:08.3,7.94,2008,74,4
5/9/2023,41:08.6,7.56,2003,69,4
5/9/2023,41:08.9,7.78,2003,69,4
5/9/2023,41:09.2,7.46,2005,71,4
5/9/2023,41:09.4,7.6,2005,71,4
5/9/2023,41:09.7,7.33,2011,77,4
5/9/2023,41:09.9,7.31,2011,77,4
5/9/2023,41:10.2,7.76,2009,75,4
5/9/2023,41:10.4,7.33,2009,75,4
5/9/2023,41:10.7,7.36,2012,78,5
5/9/2023,41:10.9,7.26,2012,78,5
5/9/2023,41:11.2,7.49,2009,75,5
5/9/2023,41:11.5,7.49,2009,75,5
5/9/2023,41:11.8,7.4,2010,76,5
5/9/2023,41:12.0,7.81,2010,76,5
5/9/2023,41:12.2,7.77,2009,75,5
5/9/2023,41:12.5,7.38,2009,75,5
5/9/2023,41:12.8,7.61,2009,75,5
5/9/2023,41:13.0,7.77,2009,75,5
5/9/2023,41:13.3,7.46,2013,79,5
5/9/2023,41:13.6,7.24,2013,79,5
5/9/2023,41:13.8,7.5,2010,76,5
5/9/2023,41:14.0,8.08,2010,76,5
5/9/2023,41:14.3,7.76,2004,70,5
5/9/2023,41:14.6,7.69,2004,70,5
5/9/2023,41:14.9,7.2,2003,69,5
5/9/2023,41:15.1,7.05,2003,69,5
5/9/2023,41:15.4,7.74,2008,74,5
5/9/2023,41:15.6,7.55,2008,74,5
5/9/2023,41:15.9,7.51,2005,71,5
5/9/2023,41:16.1,7.54,2005,71,5
5/9/2023,41:16.4,8.05,2006,72,5
5/9/2023,41:16.7,7.36,2006,72,5
5/9/2023,41:17.0,7.52,2005,71,5
5/9/2023,41:17.2,7.64,2005,71,5
5/9/2023,41:17.5,7.56,2005,71,5
5/9/2023,41:17.7,7.73,2005,71,5
5/9/2023,41:18.0,7.43,2008,74,5
5/9/2023,41:18.2,7.55,2008,74,5
5/9/2023,41:18.5,7.45,2007,73,5
5/9/2023,41:18.7,7.61,2007,73,5
5/9/2023,41:19.0,7.51,2003,69,5
5/9/2023,41:19.3,7.33,2003,69,5
5/9/2023,41:19.5,7.74,2009,75,5
5/9/2023,41:19.8,7.63,2009,75,5
5/9/2023,41:20.1,7.63,2008,74,5
5/9/2023,41:20.3,7.12,2008,74,5
5/9/2023,41:20.6,7.31,2007,73,5
5/9/2023,41:20.8,7.75,2007,73,5
5/9/2023,41:21.1,7.31,2007,73,5
5/9/2023,41:21.4,7.34,2007,73,5
5/9/2023,41:21.6,7.64,2004,70,5
5/9/2023,41:21.9,7.72,2004,70,5
5/9/2023,41:22.1,7.63,2008,74,5
5/9/2023,41:22.4,7.49,2008,74,5
5/9/2023,41:22.7,7.42,2006,72,5
5/9/2023,41:22.9,7.51,2006,72,5
5/9/2023,41:23.2,7.48,2006,72,5
5/9/2023,41:23.5,7.5,2006,72,6
5/9/2023,41:23.7,7.66,2008,74,6
5/9/2023,41:24.0,7.23,2008,74,6
5/9/2023,41:24.2,7.47,2010,76,6
5/9/2023,41:24.5,7.37,2010,76,6
5/9/2023,41:24.8,7.49,2010,76,6
5/9/2023,41:25.0,7.9,2010,76,6
5/9/2023,41:25.3,7.19,2007,73,6
5/9/2023,41:25.5,7.37,2007,73,6
5/9/2023,41:25.8,8.07,2009,75,6
5/9/2023,41:26.0,7.48,2009,75,6
5/9/2023,41:26.3,7.35,2009,75,6
5/9/2023,41:26.6,7.57,2009,75,6
5/9/2023,41:26.8,7.98,2010,76,6
5/9/2023,41:27.1,7.55,2010,76,6
5/9/2023,41:27.3,7.41,2007,73,6
5/9/2023,41:27.6,7.37,2007,73,6
5/9/2023,41:27.9,7.33,2010,76,6
5/9/2023,41:28.2,7.38,2010,76,6
5/9/2023,41:28.4,7.35,2006,72,6
5/9/2023,41:28.7,7.5,2006,72,6
5/9/2023,41:28.9,7.54,2004,70,6
5/9/2023,41:29.2,7.66,2004,70,6
5/9/2023,41:29.4,7.42,2002,68,6
5/9/2023,41:29.7,7.63,2002,68,6
5/9/2023,41:29.9,7.63,2006,72,6
5/9/2023,41:30.2,7.96,2006,72,6
5/9/2023,41:30.5,7.73,2005,71,6
5/9/2023,41:30.7,7.37,2005,71,6
5/9/2023,41:31.0,7.63,2006,72,6
5/9/2023,41:31.3,8.09,2006,72,6
5/9/2023,41:31.5,7.64,2009,75,6
5/9/2023,41:31.8,7.52,2009,75,6
5/9/2023,41:32.1,7.5,2008,74,6
5/9/2023,41:32.3,7.92,2008,74,6
5/9/2023,41:32.5,7.63,2011,77,6
5/9/2023,41:32.8,7.34,2011,77,6
5/9/2023,41:33.1,7.58,2010,76,6
5/9/2023,41:33.3,7.73,2010,76,6
5/9/2023,41:33.6,7.7,2003,69,6
5/9/2023,41:33.9,7.79,2003,69,6
5/9/2023,41:34.1,7.16,2009,75,6
5/9/2023,41:34.4,7.41,2009,75,6
5/9/2023,41:34.6,7.26,2008,74,6
5/9/2023,41:34.9,7.74,2008,74,6
5/9/2023,41:35.2,7.62,2003,69,6
5/9/2023,41:35.4,7.65,2003,69,6
5/9/2023,41:35.7,7.55,2007,73,6
5/9/2023,41:35.9,7.61,2007,73,6
5/9/2023,41:36.2,7.55,2012,78,7
5/9/2023,41:36.5,7.43,2012,78,7
5/9/2023,41:36.7,7.36,2010,76,7
5/9/2023,41:37.0,7.73,2010,76,7
5/9/2023,41:37.3,7.81,2010,76,7
5/9/2023,41:37.5,7.79,2010,76,7
5/9/2023,41:37.8,7.9,2011,77,7
5/9/2023,41:38.0,7.72,2011,77,7
5/9/2023,41:38.3,7.55,2007,73,7
5/9/2023,41:38.5,7.46,2007,73,7
5/9/2023,41:38.8,7.9,1999,65,7
5/9/2023,41:39.1,7.2,1999,65,7
5/9/2023,41:39.3,7.87,2000,66,7
5/9/2023,41:39.6,7.5,2000,66,7
5/9/2023,41:39.9,7.56,2009,75,7
5/9/2023,41:40.1,7.86,2009,75,7
5/9/2023,41:40.3,7.73,2005,71,7
5/9/2023,41:40.6,7.46,2005,71,7
5/9/2023,41:40.9,7.94,2012,78,7
5/9/2023,41:41.1,7.93,2012,78,7
5/9/2023,41:41.4,7.8,2008,74,7
5/9/2023,41:41.7,7.69,2008,74,7
5/9/2023,41:41.9,7.6,2011,77,7
5/9/2023,41:42.2,7.65,2011,77,7
5/9/2023,41:42.4,6.88,2008,74,7
5/9/2023,41:42.7,7.47,2008,74,7
5/9/2023,41:42.9,7.28,2004,70,7
5/9/2023,41:43.2,8.13,2004,70,7
5/9/2023,41:43.5,7.36,2007,73,7
5/9/2023,41:43.8,7.6,2007,73,7
5/9/2023,41:44.0,8.15,2006,72,7
5/9/2023,41:44.2,7.28,2006,72,7
5/9/2023,41:44.5,7.58,2005,71,7
5/9/2023,41:44.8,7.95,2005,71,7
5/9/2023,41:45.0,7.47,2006,72,7
5/9/2023,41:45.3,7.73,2006,72,7
5/9/2023,41:45.6,7.52,2008,74,7
5/9/2023,41:45.8,7.78,2008,74,7
5/9/2023,41:46.1,8.07,2009,75,7
5/9/2023,41:46.3,7.61,2009,75,7
5/9/2023,41:46.6,7.38,2008,74,7
5/9/2023,41:46.9,7.65,2008,74,7
5/9/2023,41:47.1,7.67,2006,72,7
5/9/2023,41:47.4,7.97,2006,72,7
5/9/2023,41:47.6,7.78,2003,69,7
5/9/2023,41:47.9,7.66,2003,69,7
5/9/2023,41:48.1,7.64,2009,75,7
5/9/2023,41:48.4,7.45,2009,75,7
5/9/2023,41:48.7,7.51,2011,77,7
5/9/2023,41:49.0,7.42,2011,77,8
5/9/2023,41:49.2,7.41,2008,74,8
5/9/2023,41:49.4,8.31,2008,74,8
5/9/2023,41:49.7,7.67,2008,74,8
5/9/2023,41:50.0,7.55,2008,74,8
5/9/2023,41:50.2,6.81,2006,72,8
5/9/2023,41:50.5,6.83,2006,72,8
5/9/2023,41:50.8,8.19,2004,70,8
5/9/2023,41:51.0,7.58,2004,70,8
5/9/2023,41:51.3,7.42,2001,67,8
5/9/2023,41:51.6,7.54,2001,67,8
5/9/2023,41:51.8,7.99,1998,64,8
5/9/2023,41:52.1,7.59,1998,64,8
5/9/2023,41:52.3,7.49,2010,76,8
5/9/2023,41:52.6,7.35,2010,76,8
5/9/2023,41:52.8,8.01,2007,73,8
5/9/2023,41:53.1,7.58,2007,73,8
5/9/2023,41:53.4,7.76,2011,77,8
5/9/2023,41:53.6,7.43,2011,77,8
5/9/2023,41:53.9,7.54,2005,71,8
5/9/2023,41:54.1,7.52,2005,71,8
5/9/2023,41:54.4,7.68,2012,78,8
5/9/2023,41:54.6,8.14,2012,78,8
5/9/2023,41:54.9,7.46,2009,75,8
5/9/2023,41:55.1,7.51,2009,75,8
5/9/2023,41:55.5,7.56,2010,76,8
5/9/2023,41:55.7,8.41,2010,76,8
5/9/2023,41:56.0,7.48,2006,72,8
5/9/2023,41:56.3,7.36,2006,72,8
5/9/2023,41:56.5,7.44,2004,70,8
5/9/2023,41:56.7,8.11,2004,70,8
5/9/2023,41:57.0,8.23,2009,75,8
5/9/2023,41:57.2,7.79,2009,75,8
5/9/2023,41:57.5,7.74,2007,73,8
5/9/2023,41:57.8,8.27,2007,73,8
5/9/2023,41:58.0,6.58,2007,73,8
5/9/2023,41:58.3,7.95,2007,73,8
5/9/2023,41:58.6,7.99,2006,72,8
5/9/2023,41:58.8,7.75,2006,72,8
5/9/2023,41:59.1,7.53,2005,71,8
5/9/2023,41:59.3,7.75,2005,71,8
5/9/2023,41:59.6,7.38,2004,70,8
5/9/2023,41:59.9,7.4,2004,70,8
5/9/2023,42:00.1,7.8,2003,69,8
5/9/2023,42:00.4,7.12,2003,69,8
5/9/2023,42:00.7,7.91,2008,74,8
5/9/2023,42:00.9,7.39,2008,74,8
5/9/2023,42:01.2,7.94,2004,70,8
5/9/2023,42:01.5,7.33,2004,70,8
5/9/2023,42:01.7,7.15,2004,70,9
5/9/2023,42:01.9,7.35,2001,67,9
5/9/2023,42:02.2,7.43,2001,67,9
5/9/2023,42:02.4,7.61,2004,70,9
5/9/2023,42:02.7,7.72,2004,70,9
5/9/2023,42:03.0,7.45,2006,72,9
5/9/2023,42:03.2,7.03,2006,72,9
5/9/2023,42:03.5,7.69,2003,69,9
5/9/2023,42:03.8,7.34,2003,69,9
5/9/2023,42:04.0,7.08,2003,69,9
5/9/2023,42:04.3,7.72,2003,69,9
5/9/2023,42:04.5,7.08,2003,69,9
5/9/2023,42:04.8,7.29,2003,69,9
5/9/2023,42:05.0,7.62,2005,71,9
5/9/2023,42:05.3,7.9,2005,71,9
5/9/2023,42:05.6,7.52,2007,73,9
5/9/2023,42:05.8,7.27,2007,73,9
5/9/2023,42:06.1,7.93,2008,74,9
5/9/2023,42:06.4,7.92,2008,74,9
5/9/2023,42:06.6,7.09,2002,68,9
5/9/2023,42:06.9,7.53,2003,69,9
5/9/2023,42:07.1,7.75,2003,69,9
5/9/2023,42:07.4,7.43,2003,69,9
5/9/2023,42:07.6,7.55,2005,71,9
5/9/2023,42:07.9,7.38,2005,71,9
5/9/2023,42:08.2,7.78,2010,76,9
5/9/2023,42:08.5,7.28,2011,77,9
5/9/2023,42:08.7,6.93,2011,77,9
5/9/2023,42:08.9,7.64,2011,77,9
5/9/2023,42:09.2,7.97,2013,79,9
5/9/2023,42:09.5,7.54,2013,79,9
5/9/2023,42:09.7,7.71,2011,77,9
5/9/2023,42:10.0,7.93,2011,77,9
5/9/2023,42:10.3,7.15,2016,82,9
5/9/2023,42:10.5,7.41,2013,79,9
5/9/2023,42:10.8,7.24,2013,79,9
5/9/2023,42:11.0,7.61,2013,79,9
5/9/2023,42:11.3,7.54,2011,77,9
5/9/2023,42:11.6,7.69,2008,74,9
5/9/2023,42:11.8,7.75,2008,74,9
5/9/2023,42:12.1,7.7,2007,73,9
5/9/2023,42:12.3,7.51,2007,73,9
5/9/2023,42:12.6,7.96,2007,73,9
5/9/2023,42:12.9,7.66,2007,73,9
5/9/2023,42:13.1,7.53,2007,73,9
5/9/2023,42:13.4,7.75,2010,76,9
5/9/2023,42:13.6,7.95,2010,76,9
5/9/2023,42:13.9,7.8,2010,76,9
5/9/2023,42:14.2,7.72,2009,75,9
5/9/2023,42:14.4,7.91,2009,75,9
5/9/2023,42:14.7,8.02,2014,80,10
5/9/2023,42:15.0,8.08,2014,80,10
5/9/2023,42:15.2,7.64,2009,75,10
5/9/2023,42:15.5,7.88,2009,75,10
5/9/2023,42:15.7,8.52,2009,75,10
5/9/2023,42:16.0,7.74,2013,79,10
5/9/2023,42:16.3,7.54,2010,76,10
5/9/2023,42:16.5,7.91,2010,76,10
5/9/2023,42:16.7,8.14,2010,76,10
5/9/2023,42:17.0,8.01,2013,79,10
5/9/2023,42:17.3,8.01,2008,74,10
5/9/2023,42:17.5,8.14,2008,74,10
5/9/2023,42:17.8,8.16,2008,74,10
5/9/2023,42:18.1,8.27,2008,74,10
5/9/2023,42:18.3,8.07,2009,75,10
5/9/2023,42:18.6,7.87,2009,75,10
5/9/2023,42:18.9,8.53,2011,77,10
5/9/2023,42:19.1,8.12,2011,77,10
5/9/2023,42:19.4,7.98,2013,79,10
5/9/2023,42:19.7,8,2013,79,10
5/9/2023,42:19.9,8.01,2011,77,10
5/9/2023,42:20.2,8.67,2011,77,10
5/9/2023,42:20.4,8.46,2010,76,10
5/9/2023,42:20.7,7.91,2010,76,10
5/9/2023,42:20.9,8.13,2010,76,10
5/9/2023,42:21.2,8.94,2012,78,10
5/9/2023,42:21.4,8.76,2012,78,10
5/9/2023,42:21.7,8.31,2012,78,10
5/9/2023,42:22.0,8.24,2013,79,10
5/9/2023,42:22.3,9.12,2013,79,10
5/9/2023,42:22.5,8.23,2014,80,10
5/9/2023,42:22.7,8.01,2014,80,10
5/9/2023,42:23.0,8.32,2016,82,10
5/9/2023,42:23.3,8.72,2016,82,10
5/9/2023,42:23.5,8.08,2016,82,10
5/9/2023,42:23.8,8.32,2016,82,10
5/9/2023,42:24.1,7.81,2015,81,10
5/9/2023,42:24.3,8.88,2015,81,10
5/9/2023,42:24.5,8.62,2015,81,10
5/9/2023,42:24.8,8.12,2016,82,10
5/9/2023,42:25.1,8.06,2016,82,10
5/9/2023,42:25.4,8.83,2009,75,10
5/9/2023,42:25.6,8.41,2009,75,10
5/9/2023,42:25.8,8.29,2016,82,10
5/9/2023,42:26.1,8.3,2016,82,10
5/9/2023,42:26.4,8.85,2023,89,10
5/9/2023,42:26.7,8.38,2023,89,10
5/9/2023,42:26.9,7.85,2019,85,10
5/9/2023,42:27.2,8.4,2019,85,11
5/9/2023,42:27.4,8.11,2022,88,11
5/9/2023,42:27.7,8.73,2022,88,11
5/9/2023,42:27.9,8.22,2023,89,11
5/9/2023,42:28.2,8.59,2023,89,11
5/9/2023,42:28.5,8.36,2025,91,11
5/9/2023,42:28.8,8.95,2021,87,11
5/9/2023,42:29.0,8.58,2021,87,11
5/9/2023,42:29.3,8.53,2021,87,11
5/9/2023,42:29.5,9.1,2024,90,11
5/9/2023,42:29.8,9.11,2022,88,11
5/9/2023,42:30.1,8.29,2022,88,11
5/9/2023,42:30.3,8.73,2024,90,11
5/9/2023,42:30.6,9.17,2024,90,11
5/9/2023,42:30.8,8.51,2024,90,11
5/9/2023,42:31.1,8.75,2019,85,11
5/9/2023,42:31.4,8.96,2019,85,11
5/9/2023,42:31.6,9.2,2022,88,11
5/9/2023,42:31.9,8.95,2022,88,11
5/9/2023,42:32.1,8.77,2022,88,11
5/9/2023,42:32.4,8.74,2021,87,11
5/9/2023,42:32.7,9.18,2021,87,11
5/9/2023,42:32.9,9.39,2021,87,11
5/9/2023,42:33.2,8.67,2021,87,11
5/9/2023,42:33.5,8.79,2017,83,11
5/9/2023,42:33.7,8.96,2017,83,11
5/9/2023,42:34.0,9.28,2017,83,11
5/9/2023,42:34.2,8.94,2016,82,11
5/9/2023,42:34.5,8.76,2016,82,11
5/9/2023,42:34.8,9.1,2018,84,11
5/9/2023,42:35.1,9.17,2017,83,11
5/9/2023,42:35.2,8.89,2017,83,11
5/9/2023,42:35.5,8.86,2017,83,11
5/9/2023,42:35.8,8.8,2015,81,11
5/9/2023,42:36.0,9.32,2015,81,11
5/9/2023,42:36.3,9.17,2016,82,11
5/9/2023,42:36.6,9.03,2018,84,11
5/9/2023,42:36.8,8.94,2018,84,11
5/9/2023,42:37.0,8.41,2018,84,11
5/9/2023,42:37.4,9.46,2021,87,11
5/9/2023,42:37.6,9.3,2015,81,11
5/9/2023,42:37.9,8.87,2015,81,11
5/9/2023,42:38.1,9.16,2015,81,11
5/9/2023,42:38.4,9.61,2012,78,11
5/9/2023,42:38.6,8.94,2012,78,11
5/9/2023,42:38.9,9.4,2018,84,11
5/9/2023,42:39.2,9.01,2018,84,11
5/9/2023,42:39.4,9.23,2018,84,11
5/9/2023,42:39.7,8.92,2017,83,11
5/9/2023,42:39.9,9.13,2017,83,11
5/9/2023,42:40.2,9.66,2023,89,12
5/9/2023,42:40.5,9.45,2023,89,12
5/9/2023,42:40.7,8.89,2024,90,12
5/9/2023,42:41.0,9.24,2024,90,12
5/9/2023,42:41.2,9.84,2024,90,12
5/9/2023,42:41.5,9.43,2024,90,12
5/9/2023,42:41.8,9.05,2025,91,12
5/9/2023,42:42.0,9.25,2025,91,12
5/9/2023,42:42.3,9.85,2025,91,12
5/9/2023,42:42.5,9.91,2028,94,12
5/9/2023,42:42.8,9.25,2027,93,12
5/9/2023,42:43.1,9.64,2027,93,12
5/9/2023,42:43.4,9.87,2028,94,12
5/9/2023,42:43.6,9.56,2028,94,12
5/9/2023,42:43.9,9.44,2031,97,12
5/9/2023,42:44.1,9.58,2031,97,12
5/9/2023,42:44.4,9.4,2031,97,12
5/9/2023,42:44.6,9.95,2031,97,12
5/9/2023,42:44.9,9.14,2028,94,12
5/9/2023,42:45.1,9.58,2028,94,12
5/9/2023,42:45.4,9.18,2029,95,12
5/9/2023,42:45.6,9.87,2029,95,12
5/9/2023,42:45.9,9.51,2031,97,12
